id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
1QmCRcCgIBWhZwERTJoTwX,"Mental Manadhil (From ""O Kadhal Kanmani"")",A.R. Rahman,"Mental Manadhil (From ""O Kadhal Kanmani"")",2015-03-20,26,210000,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273a1d7cabe6333ee97f8d6e6b1
5KZyOG8LZsBrHjuEdNyZHa,Omana Penne,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,58,332586,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1
1ZbfvUHBfdODgIL70sk6XR,Aathangara Orathil,Harris Jayaraj,Yaan (Original Motion Picture Soundtrack),2014-05-14,57,264666,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273cd4b597d4ab359d5075e04c7
0uEtUhy8xAX1fJFiqNs5sr,Kaara Aattakkaara,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),2015-04-07,48,336810,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2732318539f1b037d942fafa581
1VBkQidkoJXhQPJsAvSkNP,Nenjukulla Nee,"Vijay Prakash,Diwakar,Ajesh",Vadacurry (Original Motion Picture Soundtrack),2014-09-16,0,298760,,https://i.scdn.co/image/ab67616d0000b2738d0487e5174d5656795c7b84
6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,67,204866,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
3YfG9ch4qcYbDhwVtDuzQm,"Thuli Thuli (From ""Paiya"")",Yuvan Shankar Raja,All About Love: Yuvanshankar Raja,2018-08-31,51,283346,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood",https://i.scdn.co/image/ab67616d0000b273cbb852c7ef0daf9f87816138
7JqpYvigO9X4QY3W9QTArZ,Arabu Naadu,Haricharan,Thottal Poo Malarum,2007-06-30,52,322013,"mollywood, tamil pop, tollywood, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop",https://i.scdn.co/image/ab67616d0000b273d3666287f1544231a4c39346
0j5PDjpBsLIEQdRVSoXFBv,Kanaa Kaangiren,G. V. Prakash,Anandha Thaandavam (Original Motion Picture Soundtrack),2008-10-03,56,345560,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2737648a068e9518d1aaa15e1b5
2HMHzctE8A400bsLxcWwya,"Sandakari Neethan (From ""Sangathamizhan"")",Vivek - Mervin,"Sandakari Neethan (From ""Sangathamizhan"")",2019-09-13,53,250000,"tamil pop, tamil dance, kollywood, tamil indie",https://i.scdn.co/image/ab67616d0000b273e11695e15d77c24e4f1acc57
3h0W7VWNFZsll7EHTAQWlh,Minnalgal Koothadum,Karthik,Polladhavan (Original Motion Picture Soundtrack),2021-06-15,0,409547,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b27374d5c04c496f12e839948f45
68kb4S1XJcLO9jn6sDwSU1,Kannukkul Kannai,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,51,232840,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1
7mMkw0JFKnyMS6oGRT6b3O,Mannipaaya,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),2010-01-11,57,416320,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27304e62c113ddc91c2957f53c1
3hw1iGc2WAhHG4DFPcu80r,Loosu Pennae,Silambarasan TR,Vallavan (Original Motion Picture Soundtrack),2006-06-01,0,407447,"tamil dance, tamil pop, kollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273a48ce77419d7545cca941e7a
